Country,Year,Attack_Type,Target_Industry,Financial_Loss_Million,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_Time_Hours,Resolution_Speed,Severity_Level,Attack_Impact_Score,Cyber_Risk_Score,Damage_Category,User_Impact_Category,Year_Group,Defense_Effectiveness
Brazil,2018,"SQL Injection",IT,98.38,661583,Insider,"Social Engineering",Encryption,30,Moderate,Critical,57.17,48.00,"Extreme Loss",High,2018-2020,"Moderately Effective"
Russia,2015,"SQL Injection",Education,23.49,642834,Unknown,"Weak Passwords",Antivirus,34,Moderate,Low,20.47,18.77,"Minor Loss",High,2015-2017,"Moderately Effective"
Brazil,2017,Ransomware,IT,9.43,493087,"Hacker Group","Unpatched Software",Encryption,44,Slow,Low,14.99,14.54,"Minor Loss",Medium,2015-2017,"Moderately Effective"
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,"Weak Passwords",Antivirus,32,Moderate,Critical,57.98,49.21,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,"Weak Passwords",VPN,8,Fast,High,40.29,33.65,"Major Loss",High,2021-2024,"Highly Effective"
Germany,2020,Phishing,Retail,78.84,733304,Unknown,"Weak Passwords",VPN,19,Moderate,Critical,45.42,38.27,"Major Loss",High,2018-2020,"Highly Effective"
India,2023,Ransomware,Telecommunications,3.51,661681,"Hacker Group","Weak Passwords","AI-based Detection",14,Moderate,Low,6.54,6.85,"Minor Loss",High,2021-2024,"Highly Effective"
France,2020,"SQL Injection",IT,25.32,644538,Unknown,"Social Engineering",Antivirus,57,Slow,Medium,25.99,24.11,"Moderate Loss",High,2018-2020,"Needs Improvement"
Germany,2015,Phishing,Banking,58.78,861637,Unknown,"Social Engineering",VPN,15,Moderate,High,34.97,29.96,"Major Loss",Massive,2015-2017,"Highly Effective"
Brazil,2016,"SQL Injection",Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37,Slow,High,45.46,38.48,"Major Loss",Medium,2015-2017,"Moderately Effective"
France,2022,"SQL Injection",Healthcare,27.06,999545,"Hacker Group","Social Engineering",Encryption,47,Slow,Medium,25.93,24.22,"Moderate Loss",Massive,2021-2024,"Moderately Effective"
UK,2021,"SQL Injection",IT,77.82,935572,"Hacker Group","Social Engineering",Encryption,61,Slow,Critical,53.92,47.07,"Major Loss",Massive,2021-2024,"Needs Improvement"
France,2016,Ransomware,IT,55.99,724608,"Hacker Group","Social Engineering",Antivirus,21,Moderate,High,34.37,29.49,"Major Loss",High,2015-2017,"Highly Effective"
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,"Social Engineering","AI-based Detection",30,Moderate,High,36.12,31.30,"Major Loss",High,2021-2024,"Moderately Effective"
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,"Weak Passwords","AI-based Detection",42,Slow,Low,13.78,13.59,"Minor Loss",High,2015-2017,"Moderately Effective"
Australia,2019,Phishing,Banking,37.07,902654,Insider,"Social Engineering",Antivirus,9,Fast,Medium,23.04,20.24,"Moderate Loss",Massive,2018-2020,"Highly Effective"
UK,2022,Ransomware,Healthcare,75.67,413293,"Hacker Group",Zero-day,Antivirus,27,Moderate,Critical,44.47,37.32,"Major Loss",Medium,2021-2024,"Moderately Effective"
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,"AI-based Detection",58,Slow,High,40.04,34.53,"Major Loss",Low,2021-2024,"Needs Improvement"
USA,2018,Malware,Government,70.53,363432,"Hacker Group",Zero-day,"AI-based Detection",40,Slow,High,44.36,37.67,"Major Loss",Medium,2018-2020,"Moderately Effective"
Japan,2016,"SQL Injection",Telecommunications,63.77,304618,Unknown,"Unpatched Software",Antivirus,54,Slow,High,43.60,37.53,"Major Loss",Medium,2015-2017,"Needs Improvement"
India,2022,"SQL Injection",IT,32.73,153154,"Hacker Group",Zero-day,VPN,37,Slow,Medium,24.22,21.10,"Moderate Loss",Low,2021-2024,"Moderately Effective"
China,2022,Malware,Banking,21.87,741153,Insider,"Social Engineering",Encryption,66,Slow,Low,26.36,24.91,"Minor Loss",High,2021-2024,"Needs Improvement"
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,"Social Engineering",VPN,19,Moderate,High,40.62,33.68,"Major Loss",Medium,2021-2024,"Highly Effective"
UK,2023,"SQL Injection",Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18,Moderate,High,32.57,27.88,"Major Loss",High,2021-2024,"Highly Effective"
Australia,2018,DDoS,Education,3.30,45027,Unknown,"Social Engineering",Antivirus,68,Slow,Low,15.39,15.10,"Minor Loss",Low,2018-2020,"Needs Improvement"
Australia,2021,Malware,Banking,13.99,689681,Nation-state,"Weak Passwords","AI-based Detection",62,Slow,Low,21.46,20.75,"Minor Loss",High,2021-2024,"Needs Improvement"
Germany,2024,Malware,Government,93.49,702688,"Hacker Group","Unpatched Software",Antivirus,39,Slow,Critical,56.65,48.01,"Extreme Loss",High,2021-2024,"Moderately Effective"
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,"Weak Passwords",Encryption,19,Moderate,Critical,52.70,43.06,"Extreme Loss",Low,2015-2017,"Highly Effective"
Japan,2015,Malware,Education,17.19,899381,Insider,"Unpatched Software",Firewall,66,Slow,Low,24.49,23.67,"Minor Loss",Massive,2015-2017,"Needs Improvement"
India,2023,Malware,IT,54.21,157667,Insider,"Weak Passwords",VPN,34,Moderate,High,34.38,29.11,"Major Loss",Low,2021-2024,"Moderately Effective"
UK,2021,Malware,Government,64.28,643714,Nation-state,"Weak Passwords",VPN,25,Moderate,High,39.07,33.29,"Major Loss",High,2021-2024,"Moderately Effective"
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,"AI-based Detection",7,Fast,High,37.07,29.94,"Major Loss",Low,2021-2024,"Highly Effective"
UK,2017,Phishing,Banking,52.31,259706,"Hacker Group","Social Engineering",Antivirus,2,Fast,High,27.33,22.36,"Major Loss",Medium,2015-2017,"Highly Effective"
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,"Weak Passwords",Firewall,72,Slow,Medium,36.97,33.57,"Moderate Loss",High,2021-2024,"Needs Improvement"
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,"Unpatched Software",Firewall,22,Moderate,Medium,21.95,19.21,"Moderate Loss",Medium,2021-2024,"Highly Effective"
France,2017,DDoS,IT,20.44,618269,Nation-state,"Weak Passwords",VPN,48,Slow,Low,21.67,20.25,"Minor Loss",High,2015-2017,"Moderately Effective"
Russia,2016,Ransomware,Government,59.66,854961,Unknown,"Unpatched Software","AI-based Detection",7,Fast,High,33.79,28.68,"Major Loss",Massive,2015-2017,"Highly Effective"
Brazil,2019,"SQL Injection",Education,56.33,595157,Unknown,Zero-day,Encryption,41,Slow,High,38.15,33.11,"Major Loss",High,2018-2020,"Moderately Effective"
France,2016,"SQL Injection",Government,2.24,813706,"Hacker Group","Weak Passwords",VPN,54,Slow,Low,14.36,14.95,"Minor Loss",Massive,2015-2017,"Needs Improvement"
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,"Weak Passwords",Firewall,46,Slow,Critical,51.19,43.31,"Extreme Loss",Medium,2018-2020,"Moderately Effective"
China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34,Moderate,Low,14.43,13.80,"Minor Loss",High,2021-2024,"Moderately Effective"
UK,2017,DDoS,Healthcare,54.83,966668,"Hacker Group","Weak Passwords","AI-based Detection",15,Moderate,High,33.32,28.80,"Major Loss",Massive,2015-2017,"Highly Effective"
France,2020,"SQL Injection",Retail,36.17,813165,Nation-state,"Unpatched Software",Antivirus,44,Slow,Medium,29.32,26.52,"Moderate Loss",Massive,2018-2020,"Moderately Effective"
France,2018,"SQL Injection",Government,80.06,400807,Unknown,"Weak Passwords",Firewall,67,Slow,Critical,54.63,47.03,"Extreme Loss",Medium,2018-2020,"Needs Improvement"
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,"Hacker Group","Weak Passwords",Antivirus,26,Moderate,High,44.27,37.34,"Major Loss",High,2021-2024,"Moderately Effective"
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,"Social Engineering",Antivirus,49,Slow,High,49.68,43.23,"Major Loss",Massive,2021-2024,"Needs Improvement"
India,2015,"SQL Injection",Government,46.20,245370,Insider,"Social Engineering","AI-based Detection",57,Slow,Medium,35.24,30.86,"Moderate Loss",Medium,2015-2017,"Needs Improvement"
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4,Fast,Low,8.33,8.29,"Minor Loss",Massive,2015-2017,"Highly Effective"
USA,2017,Malware,Telecommunications,81.19,362085,Insider,"Weak Passwords",VPN,5,Fast,Critical,42.68,34.92,"Extreme Loss",Medium,2015-2017,"Highly Effective"
Germany,2022,"SQL Injection",Telecommunications,42.80,862664,"Hacker Group",Zero-day,Firewall,44,Slow,Medium,32.79,29.37,"Moderate Loss",Massive,2021-2024,"Moderately Effective"
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,"Social Engineering",Antivirus,51,Slow,Medium,27.47,24.51,"Moderate Loss",Medium,2015-2017,"Needs Improvement"
Russia,2018,Malware,Banking,17.99,593009,Unknown,"Social Engineering",Firewall,27,Moderate,Low,16.17,14.97,"Minor Loss",High,2018-2020,"Moderately Effective"
Germany,2023,"SQL Injection",Banking,30.68,933754,Insider,"Social Engineering",Firewall,36,Moderate,Medium,25.34,23.21,"Moderate Loss",Massive,2021-2024,"Moderately Effective"
Japan,2015,DDoS,Government,82.12,55055,"Hacker Group","Unpatched Software",VPN,44,Slow,Critical,50.03,41.87,"Extreme Loss",Low,2015-2017,"Moderately Effective"
France,2020,"SQL Injection",Education,94.63,481180,"Hacker Group","Weak Passwords","AI-based Detection",10,Fast,Critical,50.76,41.78,"Extreme Loss",Medium,2018-2020,"Highly Effective"
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unknown,"Weak Passwords",VPN,66,Slow,High,40.55,35.25,"Major Loss",Low,2018-2020,"Needs Improvement"
USA,2020,DDoS,Government,10.54,741592,Insider,"Social Engineering",VPN,69,Slow,Low,21.29,20.98,"Minor Loss",High,2018-2020,"Needs Improvement"
Russia,2020,Phishing,Education,34.41,928026,Unknown,"Social Engineering",VPN,5,Fast,Medium,20.99,18.48,"Moderate Loss",Massive,2018-2020,"Highly Effective"
Germany,2018,"SQL Injection",Education,84.27,399014,Nation-state,Zero-day,Firewall,52,Slow,Critical,53.73,45.70,"Extreme Loss",Medium,2018-2020,"Needs Improvement"
China,2018,Ransomware,Retail,35.08,42831,"Hacker Group","Social Engineering",Antivirus,42,Slow,Medium,26.07,22.60,"Moderate Loss",Low,2018-2020,"Moderately Effective"
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,"Unpatched Software",VPN,25,Moderate,Medium,29.19,25.23,"Moderate Loss",High,2018-2020,"Moderately Effective"
Australia,2023,Man-in-the-Middle,Retail,92.57,813789,Nation-state,"Unpatched Software",Antivirus,27,Moderate,Critical,54.13,45.68,"Extreme Loss",Massive,2021-2024,"Moderately Effective"
UK,2015,Ransomware,Banking,13.49,345825,"Hacker Group",Zero-day,"AI-based Detection",6,Fast,Low,8.98,7.98,"Minor Loss",Medium,2015-2017,"Highly Effective"
UK,2016,Phishing,Education,8.42,29671,Insider,"Unpatched Software",Encryption,61,Slow,Low,16.50,15.69,"Minor Loss",Low,2015-2017,"Needs Improvement"
Australia,2020,Phishing,Government,92.50,34011,Insider,"Unpatched Software",Firewall,9,Fast,Critical,48.15,38.94,"Extreme Loss",Low,2018-2020,"Highly Effective"
USA,2018,"SQL Injection",Banking,63.80,341383,Nation-state,"Weak Passwords",Antivirus,9,Fast,High,34.72,28.69,"Major Loss",Medium,2018-2020,"Highly Effective"
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6,Fast,Medium,23.33,19.80,"Moderate Loss",High,2018-2020,"Highly Effective"
Germany,2019,Malware,Banking,79.24,862136,"Hacker Group",Zero-day,VPN,44,Slow,Critical,51.01,43.94,"Major Loss",Massive,2018-2020,"Moderately Effective"
Japan,2022,Man-in-the-Middle,Retail,37.15,241151,"Hacker Group","Social Engineering",Antivirus,56,Slow,Medium,30.50,27.02,"Moderate Loss",Medium,2021-2024,"Needs Improvement"
India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37,Slow,High,39.39,33.51,"Major Loss",Medium,2021-2024,"Moderately Effective"
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24,Moderate,Medium,21.73,19.10,"Moderate Loss",Medium,2021-2024,"Highly Effective"
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,"Weak Passwords",Encryption,45,Slow,Critical,50.37,42.15,"Extreme Loss",Low,2015-2017,"Moderately Effective"
USA,2019,Malware,Government,34.40,98018,Insider,Zero-day,VPN,55,Slow,Medium,28.49,25.15,"Moderate Loss",Low,2018-2020,"Needs Improvement"
Japan,2024,Phishing,Education,72.20,555808,Unknown,"Weak Passwords","AI-based Detection",4,Fast,High,38.57,31.90,"Major Loss",High,2021-2024,"Highly Effective"
UK,2021,"SQL Injection",Healthcare,52.23,449333,"Hacker Group","Unpatched Software",Encryption,39,Slow,High,35.26,30.49,"Major Loss",Medium,2021-2024,"Moderately Effective"
UK,2024,Man-in-the-Middle,Retail,7.16,368618,Nation-state,"Social Engineering",Firewall,22,Moderate,Low,9.09,8.74,"Minor Loss",Medium,2021-2024,"Highly Effective"
France,2022,Man-in-the-Middle,IT,78.23,310175,"Hacker Group","Unpatched Software","AI-based Detection",53,Slow,Critical,50.65,43.13,"Major Loss",Medium,2021-2024,"Needs Improvement"
UK,2020,Phishing,Retail,25.10,986980,Nation-state,Zero-day,VPN,71,Slow,Medium,29.71,28.19,"Moderate Loss",Massive,2018-2020,"Needs Improvement"
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,Moderate,Critical,50.62,42.29,"Extreme Loss",High,2021-2024,"Highly Effective"
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,Slow,Medium,37.57,32.70,"Moderate Loss",Low,2015-2017,"Needs Improvement"
Russia,2018,DDoS,Telecommunications,4.08,502842,Unknown,Zero-day,VPN,15,Moderate,Low,6.55,6.64,"Minor Loss",High,2018-2020,"Highly Effective"
UK,2024,Phishing,Retail,89.31,376586,Unknown,"Weak Passwords","AI-based Detection",51,Slow,Critical,55.98,47.43,"Extreme Loss",Medium,2021-2024,"Needs Improvement"
Germany,2023,Phishing,Government,88.55,698597,Unknown,"Social Engineering",Antivirus,66,Slow,Critical,59.57,51.41,"Extreme Loss",High,2021-2024,"Needs Improvement"
Russia,2015,"SQL Injection",Education,5.26,559195,Insider,"Weak Passwords",VPN,52,Slow,Low,14.71,14.74,"Minor Loss",High,2015-2017,"Needs Improvement"
India,2024,Ransomware,Retail,17.57,236253,Unknown,"Social Engineering",Firewall,38,Slow,Low,17.09,15.57,"Minor Loss",Medium,2021-2024,"Moderately Effective"
Brazil,2016,DDoS,Healthcare,8.01,534847,Nation-state,Zero-day,Firewall,3,Fast,Low,6.21,5.94,"Minor Loss",High,2015-2017,"Highly Effective"
Australia,2016,Malware,Retail,39.86,262611,Unknown,"Social Engineering",Antivirus,33,Moderate,Medium,27.32,23.59,"Moderate Loss",Medium,2015-2017,"Moderately Effective"
Brazil,2021,"SQL Injection",Telecommunications,11.61,848702,Unknown,"Weak Passwords",Antivirus,48,Slow,Low,17.95,17.64,"Minor Loss",Massive,2021-2024,"Moderately Effective"
Germany,2017,Man-in-the-Middle,Retail,73.98,609952,"Hacker Group","Unpatched Software",VPN,7,Fast,High,40.22,33.43,"Major Loss",High,2015-2017,"Highly Effective"
Germany,2022,Man-in-the-Middle,IT,65.86,978868,Insider,"Weak Passwords","AI-based Detection",39,Slow,High,43.67,38.06,"Major Loss",Massive,2021-2024,"Moderately Effective"
Australia,2021,Ransomware,Retail,41.26,659734,Insider,"Unpatched Software",Antivirus,54,Slow,Medium,33.41,29.94,"Moderate Loss",High,2021-2024,"Needs Improvement"
Japan,2022,DDoS,Retail,64.38,88354,Nation-state,"Social Engineering","AI-based Detection",52,Slow,High,42.86,36.51,"Major Loss",Low,2021-2024,"Needs Improvement"
Brazil,2022,Phishing,Banking,75.01,771434,"Hacker Group","Social Engineering","AI-based Detection",38,Slow,Critical,47.42,40.69,"Major Loss",High,2021-2024,"Moderately Effective"
Australia,2016,"SQL Injection",Banking,1.73,91560,"Hacker Group","Weak Passwords","AI-based Detection",35,Moderate,Low,8.14,8.06,"Minor Loss",Low,2015-2017,"Moderately Effective"
UK,2021,Phishing,Healthcare,1.35,375292,Unknown,"Unpatched Software",Firewall,48,Slow,Low,11.40,11.64,"Minor Loss",Medium,2021-2024,"Moderately Effective"
Japan,2015,"SQL Injection",Retail,70.88,43366,Unknown,"Weak Passwords","AI-based Detection",43,Slow,High,44.17,37.13,"Major Loss",Low,2015-2017,"Moderately Effective"
India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,"Social Engineering","AI-based Detection",56,Slow,Medium,28.53,25.75,"Moderate Loss",Medium,2018-2020,"Needs Improvement"
Brazil,2017,Phishing,Healthcare,68.99,526227,"Hacker Group","Weak Passwords",VPN,62,Slow,High,48.47,42.10,"Major Loss",High,2015-2017,"Needs Improvement"
Japan,2024,Man-in-the-Middle,Retail,9.77,621770,Insider,"Unpatched Software","AI-based Detection",70,Slow,Low,20.75,20.40,"Minor Loss",High,2021-2024,"Needs Improvement"
India,2019,DDoS,Telecommunications,14.53,857688,Insider,Zero-day,Antivirus,55,Slow,Low,20.84,20.24,"Minor Loss",Massive,2018-2020,"Needs Improvement"
Brazil,2024,"SQL Injection",Banking,33.06,644841,Insider,"Weak Passwords",Antivirus,64,Slow,Medium,31.26,28.60,"Moderate Loss",High,2021-2024,"Needs Improvement"
Russia,2024,Man-in-the-Middle,IT,67.61,242847,Unknown,"Unpatched Software",VPN,37,Slow,High,41.93,35.42,"Major Loss",Medium,2021-2024,"Moderately Effective"
China,2022,Man-in-the-Middle,IT,85.30,155225,Unknown,"Weak Passwords",Antivirus,13,Moderate,Critical,45.72,37.34,"Extreme Loss",Low,2021-2024,"Highly Effective"
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,Nation-state,"Unpatched Software","AI-based Detection",50,Slow,Critical,51.98,44.72,"Major Loss",High,2015-2017,"Needs Improvement"
UK,2022,Phishing,Government,61.87,298941,Unknown,Zero-day,Antivirus,13,Moderate,High,34.43,28.54,"Major Loss",Medium,2021-2024,"Highly Effective"
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,"AI-based Detection",55,Slow,Low,15.81,16.10,"Minor Loss",High,2018-2020,"Needs Improvement"
Germany,2019,Phishing,Healthcare,99.97,950451,"Hacker Group","Weak Passwords","AI-based Detection",29,Moderate,Critical,58.64,49.59,"Extreme Loss",Massive,2018-2020,"Moderately Effective"
China,2018,Malware,Education,95.42,917848,Insider,"Social Engineering",VPN,30,Moderate,Critical,56.46,47.84,"Extreme Loss",Massive,2018-2020,"Moderately Effective"
Germany,2016,"SQL Injection",Education,42.98,194633,Nation-state,"Social Engineering",Antivirus,37,Slow,Medium,29.47,25.37,"Moderate Loss",Low,2015-2017,"Moderately Effective"
Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65,Slow,High,49.55,43.48,"Major Loss",High,2015-2017,"Needs Improvement"
France,2018,"SQL Injection",Government,36.14,668774,Unknown,"Social Engineering",Firewall,61,Slow,Medium,32.28,29.33,"Moderate Loss",High,2018-2020,"Needs Improvement"
France,2023,"SQL Injection",Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17,Moderate,High,40.75,34.60,"Major Loss",Massive,2021-2024,"Highly Effective"
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,"Weak Passwords",Encryption,16,Moderate,Low,6.24,6.45,"Minor Loss",High,2018-2020,"Highly Effective"
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595,Unknown,"Social Engineering","AI-based Detection",3,Fast,Critical,44.96,36.73,"Extreme Loss",Medium,2021-2024,"Highly Effective"
Germany,2022,"SQL Injection",IT,6.31,742273,"Hacker Group",Zero-day,"AI-based Detection",67,Slow,Low,18.78,18.89,"Minor Loss",High,2021-2024,"Needs Improvement"
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,"AI-based Detection",63,Slow,Medium,29.25,27.48,"Moderate Loss",Massive,2015-2017,"Needs Improvement"
China,2024,DDoS,Government,69.28,890675,"Hacker Group","Unpatched Software",Firewall,5,Fast,High,38.31,32.27,"Major Loss",Massive,2021-2024,"Highly Effective"
Germany,2022,"SQL Injection",Education,68.96,710896,Nation-state,Zero-day,Firewall,18,Moderate,High,40.21,34.03,"Major Loss",High,2021-2024,"Highly Effective"
India,2023,"SQL Injection",Retail,2.85,30883,Nation-state,"Weak Passwords","AI-based Detection",51,Slow,Low,11.72,11.46,"Minor Loss",Low,2021-2024,"Needs Improvement"
UK,2020,"SQL Injection",Government,53.76,153355,Unknown,Zero-day,Encryption,57,Slow,High,38.74,33.52,"Major Loss",Low,2018-2020,"Needs Improvement"
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,"Unpatched Software",Firewall,42,Slow,Medium,21.61,19.12,"Moderate Loss",Low,2018-2020,"Moderately Effective"
Australia,2016,"SQL Injection",IT,43.76,959797,Nation-state,"Social Engineering",Antivirus,32,Moderate,Medium,31.16,27.74,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
China,2024,Phishing,Telecommunications,9.45,501864,"Hacker Group","Unpatched Software",Encryption,12,Fast,Low,8.63,8.19,"Minor Loss",High,2021-2024,"Highly Effective"
Japan,2024,Man-in-the-Middle,IT,63.57,358626,Unknown,"Weak Passwords",VPN,26,Moderate,High,38.06,32.06,"Major Loss",Medium,2021-2024,"Moderately Effective"
Japan,2017,Man-in-the-Middle,Healthcare,11.30,64472,Insider,"Social Engineering",Firewall,43,Slow,Low,14.44,13.38,"Minor Loss",Low,2015-2017,"Moderately Effective"
India,2023,DDoS,Education,82.11,23683,"Hacker Group","Weak Passwords",Encryption,69,Slow,Critical,54.93,46.74,"Extreme Loss",Low,2021-2024,"Needs Improvement"
USA,2017,Man-in-the-Middle,IT,5.21,22635,Unknown,"Unpatched Software","AI-based Detection",8,Fast,Low,4.27,3.77,"Minor Loss",Low,2015-2017,"Highly Effective"
UK,2017,"SQL Injection",Government,98.75,894933,Insider,"Weak Passwords",Antivirus,59,Slow,Critical,63.86,54.88,"Extreme Loss",Massive,2015-2017,"Needs Improvement"
UK,2023,Malware,Banking,55.34,259176,Unknown,"Unpatched Software",VPN,3,Fast,High,29.05,23.77,"Major Loss",Medium,2021-2024,"Highly Effective"
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,"Social Engineering",Encryption,55,Slow,Low,20.14,19.89,"Minor Loss",Massive,2021-2024,"Needs Improvement"
France,2022,DDoS,Healthcare,6.48,727601,Insider,"Social Engineering",Encryption,50,Slow,Low,15.42,15.50,"Minor Loss",High,2021-2024,"Needs Improvement"
UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41,Slow,High,38.09,32.98,"Major Loss",High,2021-2024,"Moderately Effective"
India,2023,Ransomware,Education,41.15,352194,Nation-state,"Unpatched Software",Firewall,10,Fast,Medium,23.63,19.87,"Moderate Loss",Medium,2021-2024,"Highly Effective"
France,2019,Malware,Healthcare,39.83,571521,Nation-state,"Weak Passwords",Antivirus,8,Fast,Medium,23.23,19.82,"Moderate Loss",High,2018-2020,"Highly Effective"
Brazil,2023,"SQL Injection",Healthcare,47.59,933271,Insider,"Unpatched Software",Antivirus,30,Moderate,Medium,32.59,28.77,"Moderate Loss",Massive,2021-2024,"Moderately Effective"
Brazil,2022,Phishing,Banking,98.06,884502,Insider,"Unpatched Software","AI-based Detection",55,Slow,Critical,62.68,53.76,"Extreme Loss",Massive,2021-2024,"Needs Improvement"
China,2015,Ransomware,IT,57.27,762001,Nation-state,"Social Engineering",VPN,67,Slow,High,44.32,39.36,"Major Loss",High,2015-2017,"Needs Improvement"
France,2016,DDoS,Government,82.49,351330,Nation-state,"Weak Passwords",VPN,57,Slow,Critical,53.70,45.80,"Extreme Loss",Medium,2015-2017,"Needs Improvement"
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,"Unpatched Software","AI-based Detection",43,Slow,Medium,27.94,24.32,"Moderate Loss",Low,2021-2024,"Moderately Effective"
USA,2016,"SQL Injection",Government,77.45,632319,Unknown,"Weak Passwords","AI-based Detection",47,Slow,Critical,50.02,42.91,"Major Loss",High,2015-2017,"Moderately Effective"
India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39,Slow,Critical,46.62,39.42,"Major Loss",Medium,2015-2017,"Moderately Effective"
France,2018,Ransomware,Telecommunications,11.28,504165,"Hacker Group",Zero-day,"AI-based Detection",55,Slow,Low,18.15,17.53,"Minor Loss",High,2018-2020,"Needs Improvement"
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,"Social Engineering",VPN,45,Slow,Medium,29.56,26.63,"Moderate Loss",High,2021-2024,"Moderately Effective"
UK,2021,Ransomware,Banking,79.33,555527,Unknown,"Unpatched Software",Firewall,33,Moderate,Critical,47.93,40.55,"Major Loss",High,2021-2024,"Moderately Effective"
Russia,2019,"SQL Injection",Banking,59.78,681856,Insider,Zero-day,VPN,52,Slow,High,42.34,37.04,"Major Loss",High,2018-2020,"Needs Improvement"
Germany,2024,DDoS,Retail,38.65,197609,Nation-state,"Social Engineering",VPN,15,Moderate,Medium,22.92,19.25,"Moderate Loss",Low,2021-2024,"Highly Effective"
USA,2018,Man-in-the-Middle,Banking,85.29,685291,"Hacker Group","Social Engineering",Encryption,53,Slow,Critical,55.30,47.46,"Extreme Loss",High,2018-2020,"Needs Improvement"
Japan,2024,Ransomware,Retail,37.49,835730,Insider,Zero-day,VPN,14,Moderate,Medium,24.05,21.14,"Moderate Loss",Massive,2021-2024,"Highly Effective"
Germany,2016,Phishing,Education,48.57,907547,Unknown,"Unpatched Software",Firewall,33,Moderate,Medium,33.61,29.66,"Moderate Loss",Massive,2015-2017,"Moderately Effective"
France,2019,Phishing,Retail,3.00,298096,Unknown,"Social Engineering",Firewall,16,Moderate,Low,5.59,5.59,"Minor Loss",Medium,2018-2020,"Highly Effective"
UK,2023,Phishing,Retail,33.06,18579,Unknown,"Social Engineering",VPN,13,Moderate,Medium,19.19,15.90,"Moderate Loss",Low,2021-2024,"Highly Effective"
UK,2021,Malware,Education,70.90,490771,Nation-state,"Weak Passwords",Antivirus,70,Slow,High,50.92,44.32,"Major Loss",Medium,2021-2024,"Needs Improvement"
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,"Unpatched Software",Encryption,33,Moderate,Medium,26.84,23.43,"Moderate Loss",Medium,2018-2020,"Moderately Effective"
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16,Moderate,Medium,21.26,17.90,"Moderate Loss",Low,2021-2024,"Highly Effective"
Russia,2017,Ransomware,Education,88.90,444399,Insider,Zero-day,Encryption,38,Slow,Critical,53.38,44.94,"Extreme Loss",Medium,2015-2017,"Moderately Effective"
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,"Unpatched Software",Firewall,58,Slow,Low,17.89,17.86,"Minor Loss",High,2015-2017,"Needs Improvement"
Brazil,2023,Ransomware,Retail,66.38,608520,"Hacker Group",Zero-day,VPN,14,Moderate,High,37.82,31.79,"Major Loss",High,2021-2024,"Highly Effective"
